gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
EVI5,3.565429634670558,0.2966725030152706,0.29637247488027646,1.001012334681604,0.3168208451269473,0.673685010874248,TP2M,14,19
RPL5,498.37880045553305,-0.1810204518737855,0.046625130259201716,-3.882465332910467,0.00010340276158343951,0.003625209133937631,TP2M,14,19
FAM69A,2.6744063854361335,0.18587135467492213,0.32407236883637,0.5735489123689281,0.5662730911390116,0.8372977519290878,TP2M,14,19
MTF2,10.13752759317395,0.16306612963013392,0.176102995683515,0.9259702198546902,0.3544614568054799,0.7016174388941516,TP2M,14,19
TMED5,6.9286762087378655,0.11700431862346425,0.2088236843971956,0.5603019550259193,0.5752734941337778,0.8390954460924692,TP2M,14,19
CCDC18,3.197748959496743,-0.7483528900188777,0.31790617518214576,-2.354005516219072,0.018572335474102718,0.14868314012282233,TP2M,14,19
DR1,7.565525444281831,-0.19992109942402017,0.22238384268765582,-0.8989911182747877,0.3686573915176604,0.7123644159907114,TP2M,14,19
FNBP1L,1.4716242225633016,-0.6973805377013742,0.4908330328443943,-1.4208101147146313,0.15537196939451775,,TP2M,14,19
DNTTIP2,17.347159394649804,-0.09379485322542509,0.15986022252288393,-0.5867304057580578,0.5573847835215693,0.8316351171804459,TP2M,14,19
GCLM,2.2190354508044994,0.36512987118735746,0.41499854009696285,0.8798341100237274,0.3789491833485932,0.7203475795651543,TP2M,14,19
ABCD3,1.473341214258184,0.18725823552587725,0.4174799598177497,0.44854425014226923,0.6537604582427967,,TP2M,14,19
ALG14,0.7284453114231865,-0.6373992624093698,0.6200603206576686,-1.0279633144938396,0.3039670846800313,,TP2M,14,19
RWDD3,0.8507302112725401,-0.0071086444708151715,0.6545343391472945,-0.01086061348603356,0.9913346545294558,,TP2M,14,19
PTBP2,2.8131640223529883,0.0006548240397883737,0.38047487291290544,0.001721070394938458,0.9986267851817532,0.9995585412343945,TP2M,14,19
DPYD,2.2612277466514517,0.228293873736468,0.3433648969204412,0.6648724892497222,0.5061320530973835,0.8048884421059358,TP2M,14,19
AGL,3.916307396779211,-0.244633435351975,0.3098318342324822,-0.7895684313975768,0.42977985061544166,0.7598325592665007,TP2M,14,19
SLC35A3,3.6950944706527693,0.03438943874382437,0.2758822053702335,0.1246526164950501,0.9007985712714723,0.9728351186250485,TP2M,14,19
SASS6,1.4374858715980399,-0.7372760239821433,0.4293402240154359,-1.7172302587600932,0.08593710891783161,,TP2M,14,19
TRMT13,3.4855775553373047,-0.5254319997375184,0.2752752057742076,-1.9087516373287174,0.0562941384002432,0.2913784603596588,TP2M,14,19
DBT,2.8960514698346125,0.2319006137767403,0.343622461654428,0.6748703581838507,0.49975813444879036,0.8032013318441131,TP2M,14,19
