variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
MAP2K2,21.47588613784455,-0.4024308526287605,0.3396009444072082,-1.1850109938039932,0.23601310018780208,0.9996783775182935,,MAP2K2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
TMC6,17.422678159921794,-0.42110348566302924,0.3553870061846205,-1.1849152567054453,0.23605095453101654,0.9996783775182935,,TMC6,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PPP6R3,10.352660205013198,0.47074409828467123,0.39758924946934704,1.183996043436693,0.23641462902839183,0.9996783775182935,,PPP6R3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ANKRD44,25.002219728718067,0.3394905910883139,0.2867945995856628,1.183741226573938,0.23651551403076942,0.9996783775182935,,ANKRD44,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PDPK1,12.844274849387677,0.5081824132337801,0.42996800628945203,1.181907504279922,0.23724240404866548,0.9996783775182935,,PDPK1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CLEC2B,59.982143470283354,0.32618703784403325,0.27606604470080504,1.1815543566668925,0.23738257332237256,0.9996783775182935,,CLEC2B,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
KMT5B,8.857538146774255,-0.6944348470003494,0.5877630909438698,-1.181487673690396,0.23740904730301704,0.9996783775182935,,KMT5B,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CENPX,9.982881278692888,0.45349309729091436,0.38408667505097493,1.180705103166435,0.23771989353620937,0.9996783775182935,,CENPX,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
SEC62,29.641368451482897,-0.35076312683505223,0.29712768467637174,-1.1805131090934848,0.23779619973815846,0.9996783775182935,,SEC62,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
TCF25,39.145110497269684,-0.3002454632109137,0.2544023471663979,-1.1801992652785198,0.23792097119795408,0.9996783775182935,,TCF25,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PARL,9.508108036400381,-0.6266921745293866,0.5311158974704968,-1.1799537116363552,0.23801862550995767,0.9996783775182935,,PARL,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
GPBAR1,12.702075805602679,-0.629269849138551,0.5334564734580691,-1.1796086099759608,0.23815591694054472,0.9996783775182935,,GPBAR1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
MRPL54,27.97196057007579,-0.3506076678716348,0.29807855878984485,-1.176225721484465,0.23950468865249197,0.9996783775182935,,MRPL54,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
MRFAP1,20.09089216042505,-0.4055795619147365,0.34507297373929613,-1.1753443265051333,0.23985698732052285,0.9996783775182935,,MRFAP1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
MFSD1,20.360212348637674,-0.41295725805301703,0.35141026227887673,-1.1751428526162309,0.23993756886849682,0.9996783775182935,,MFSD1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
