gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
RFFL,Pooled_CD4,35.444956966399644,0.049337734756500315,0.11236154117290151,0.439098060078934,0.6605904846861206,0.8581721289723628,TP4M
RAD51D,Pooled_CD4,9.840507942116178,-0.12368362865482957,0.19946066365176374,-0.6200903295437115,0.5351983185293592,,TP4M
SLFN5,Pooled_CD4,309.1283042393741,-0.14317630457628824,0.07539420112527005,-1.8990360324714617,0.05755973856031854,0.23186316468579798,TP4M
AC022706.1,Pooled_CD4,15.820761382660177,-0.08252805604346893,0.2092709625083586,-0.39435980536560405,0.6933154149151017,0.875738517721854,TP4M
SLFN11,Pooled_CD4,21.60268603494359,0.3923046951318882,0.16251603444157184,2.4139445469482617,0.01578086391085442,0.1067405566439089,TP4M
SLFN13,Pooled_CD4,20.607080517242032,-0.06448515855811801,0.15074988886824695,-0.4277625611683007,0.6688239968926462,0.861918896888502,TP4M
SLFN12L,Pooled_CD4,58.74058607622995,-0.30265744875466005,0.1216287175820895,-2.488371617914913,0.012832956061756669,0.0952753316373303,TP4M
LINC02001,Pooled_CD4,46.47568348674787,-0.1361963890247259,0.10681544249499271,-1.2750627235487086,0.20228704197282488,0.48044648585314537,TP4M
AP2B1,Pooled_CD4,81.24578620059175,0.25051445654752924,0.09614737528916815,2.6055256921376606,0.009173339349650611,0.07724204063125847,TP4M
TAF15,Pooled_CD4,161.25720621048077,-0.08602568913075365,0.058000196488526015,-1.4831965120630553,0.13802220765125864,0.3858078679691829,TP4M
CCL5,Pooled_CD4,198.0385453006589,0.12232998047913336,0.24157140976046493,0.5063926256854325,0.6125810503676742,0.8309004845543866,TP4M
CCL3,Pooled_CD4,39.522783839399594,-0.24198660192005716,0.30799210253627907,-0.7856909314470265,0.4320485773297523,0.7050340643990857,TP4M
CCL4,Pooled_CD4,46.094649749628445,-0.1480725534981227,0.2661311383834592,-0.556389434162229,0.577944660289389,0.81138460852155,TP4M
CCL3L1,Pooled_CD4,15.314206642777666,0.0027909562240422407,0.40119360128498044,0.006956631948024856,0.9944494555430341,0.999132169314362,TP4M
CCL4L2,Pooled_CD4,11.215079058557171,-0.087095661230187,0.25949973174588026,-0.33562909928352824,0.7371505775916705,,TP4M
ZNHIT3,Pooled_CD4,130.46813339874018,0.13705439164966554,0.06647511290378312,2.0617398852415594,0.03923250707660764,0.18581775907005607,TP4M
MYO19,Pooled_CD4,17.366370589949785,0.08410207139539337,0.1518545572952857,0.5538330419142733,0.579693112948569,0.8127089696868549,TP4M
GGNBP2,Pooled_CD4,213.10580892260853,-0.1551214188552476,0.09005623803231032,-1.7224949902925464,0.08497988952364352,0.2955635087561519,TP4M
AATF,Pooled_CD4,83.16856895705749,-0.025368210558575802,0.08625430908494519,-0.2941094865601742,0.7686742420842541,0.9152219067399067,TP4M
ACACA,Pooled_CD4,12.558913757884433,0.018038789787899023,0.1937158070828622,0.09311986491728529,0.9258083360828512,0.9772760288286532,TP4M
TADA2A,Pooled_CD4,14.235304120986113,-0.040328399682836094,0.17711035273938266,-0.22770210244106512,0.8198778378615165,0.9342874787262276,TP4M
DUSP14,Pooled_CD4,24.42565884586326,-0.016636316697555976,0.1345613414381213,-0.12363370132725875,0.9016053073883818,0.9693193926913848,TP4M
SYNRG,Pooled_CD4,165.4703933507437,-0.14431442220001592,0.06708883596259144,-2.1510944426057006,0.03146874607087487,0.164036634707693,TP4M
DDX52,Pooled_CD4,65.96599176386425,0.1963083161713759,0.09237657765388253,2.1250875617724856,0.03357930724976663,0.16971107024307516,TP4M
MRPL45,Pooled_CD4,31.28381025619,-0.005347047034839605,0.11408919673075865,-0.046867251133849305,0.9626190292085219,0.9904945676112472,TP4M
MLLT6,Pooled_CD4,165.59941156182245,-0.29212450830672915,0.0642685108803205,-4.545375399326078,5.48374297239457e-06,0.00034384896821520756,TP4M
CISD3,Pooled_CD4,35.38343163540573,-0.24676478332226762,0.13117523880546356,-1.8811841744631888,0.059946869729770653,0.2376786012059364,TP4M
PSMB3,Pooled_CD4,153.42804890663058,0.06839833341830526,0.08415234895569416,0.8127917315096775,0.41633747699325574,0.6927667656592625,TP4M
PIP4K2B,Pooled_CD4,23.919258352360643,-0.28640859190143453,0.13089276200983838,-2.1881163442781277,0.028661128653544178,0.15445949762869177,TP4M
CWC25,Pooled_CD4,109.4897630651075,0.3227994813687432,0.08220038309631003,3.926982688031215,8.601816990459928e-05,0.0028326351874542553,TP4M
RPL23,Pooled_CD4,6908.41351345316,0.07671051096391562,0.04377321952964684,1.7524530246618237,0.0796959405988721,0.2852995462617784,TP4M
LASP1,Pooled_CD4,57.02976077796429,0.16917743533488988,0.12757161846039677,1.3261369368564464,0.18479434331774613,0.4558367692361269,TP4M
LINC00672,Pooled_CD4,10.018988407808196,0.19129038613848665,0.23189991913922275,0.8248833671375457,0.4094378102175804,,TP4M
PLXDC1,Pooled_CD4,10.917066119592114,-0.6757216022763265,0.20377678804355787,-3.315989071983454,0.0009131939964385796,,TP4M
RPL19,Pooled_CD4,13737.492732071734,-0.10690108305760421,0.05310527810189922,-2.0130029797128786,0.04411431588429736,0.19777310652921629,TP4M
FBXL20,Pooled_CD4,39.313094151405686,0.04471098729953045,0.10268715430356724,0.4354097413913557,0.6632650407684507,0.8594458131670873,TP4M
MED1,Pooled_CD4,63.278009109273135,-0.027881099821358026,0.10617821664301089,-0.26258775766689507,0.7928683369897879,0.9250684643322068,TP4M
CDK12,Pooled_CD4,146.74185365442784,-0.2680070280873172,0.06684986180577494,-4.009088737774548,6.095350982725227e-05,0.002203763399315922,TP4M
STARD3,Pooled_CD4,31.743575445625567,-0.048642219614406824,0.12472344524991934,-0.3900006090830648,0.6965360965383467,0.87718867816308,TP4M
MIEN1,Pooled_CD4,64.26489041337571,-0.07208660124572698,0.09275031474412951,-0.7772113921617673,0.4370340620804365,0.7094375784875722,TP4M
IKZF3,Pooled_CD4,127.1715004570283,-0.36458749702698223,0.08955490021739672,-4.071106060549865,4.679043816324666e-05,0.0017852306852503097,TP4M
ORMDL3,Pooled_CD4,47.916031489838296,-0.3703730242616999,0.15108047279436,-2.4514950040289145,0.01422641613679081,0.10063215195986172,TP4M
PSMD3,Pooled_CD4,45.6447275241697,-0.18717689914471658,0.10606654743579945,-1.76471190653219,0.07761219648310119,0.28018209528970467,TP4M
MED24,Pooled_CD4,13.941924557967662,0.05288369922706514,0.18562378347966796,0.2848972164865807,0.7757228885765795,0.9173168353942199,TP4M
THRA,Pooled_CD4,47.394684567814814,-0.35992192492319036,0.12777547933860708,-2.8168309505565734,0.004850004608921946,0.04948819974903426,TP4M
NR1D1,Pooled_CD4,10.172115247379073,0.24014788357655864,0.21659913363617625,1.1087204253546898,0.2675508076991814,,TP4M
MSL1,Pooled_CD4,75.49880511033133,-0.13439954591983233,0.08835415497086384,-1.5211457340535108,0.12822326978831247,0.3683048959778749,TP4M
CASC3,Pooled_CD4,66.10368325080566,-0.027231601465619003,0.08903985444441603,-0.30583609593183453,0.7597294438518793,0.9102692182423064,TP4M
WIPF2,Pooled_CD4,46.37010116786245,0.06376346428406449,0.11904484008895569,0.5356256032299891,0.5922173301384908,0.820512926159867,TP4M
RARA,Pooled_CD4,39.47711190154445,0.25857693953777733,0.16238586692066567,1.5923611114759526,0.11130358890292089,0.3416136779304766,TP4M
CCR7,Pooled_CD4,344.4592713668498,-0.09513686349174492,0.12088418766120268,-0.78700833692477,0.4312769858178258,0.7049181027317117,TP4M
SMARCE1,Pooled_CD4,83.2142702092957,0.1549032573953032,0.08379819246229447,1.84852743052904,0.06452607994406016,0.24754771923848068,TP4M
KRT10,Pooled_CD4,386.5743669610157,0.05868926255208567,0.062323425466117216,0.941688652591676,0.34635206635246785,0.6343161746365138,TP4M
TMEM99,Pooled_CD4,10.296631414692817,0.05969851591139607,0.21134540460685425,0.28246895655217835,0.7775839468667346,,TP4M
EIF1,Pooled_CD4,7593.421779678192,0.10643206204569043,0.04762502861513329,2.234792610956472,0.025430967179467242,0.144851520455848,TP4M
NT5C3B,Pooled_CD4,25.803164359668788,-0.29446782692883,0.17222394561491713,-1.7097960790379476,0.08730358833403723,0.2986201443732866,TP4M
ACLY,Pooled_CD4,30.044720778439576,-0.11859085724569929,0.12055581486358914,-0.9837008474447024,0.32526262303029707,0.6108726454808819,TP4M
CNP,Pooled_CD4,20.22346758938172,0.394713734996912,0.13983695443790983,2.8226711357059204,0.004762539642264855,0.048807034092076984,TP4M
DNAJC7,Pooled_CD4,141.36732885870947,0.10293456184975212,0.06113641612380698,1.6836865550198425,0.09224226107282203,0.3077389415127318,TP4M
NKIRAS2,Pooled_CD4,16.444867241069602,0.005241422345625375,0.17088040085655867,0.03067304570537119,0.9755302874556909,0.9932400805903479,TP4M
DHX58,Pooled_CD4,13.447682066019516,0.1886666308584793,0.18601002814611486,1.0142820402686978,0.3104481913106091,0.5956555621666685,TP4M
KAT2A,Pooled_CD4,9.793382991752186,-0.11878950152538383,0.19378727273268462,-0.6129891806116972,0.5398834936898411,,TP4M
RAB5C,Pooled_CD4,93.77892728923882,-0.00967664662363017,0.08583376672068943,-0.11273706133762978,0.9102390178405764,0.9728770550299138,TP4M
GHDC,Pooled_CD4,13.526178518199949,0.08816963439494678,0.1919454644955846,0.459347318399258,0.6459847729807806,0.8497216452868755,TP4M
STAT5B,Pooled_CD4,90.7132127046737,-0.10987492157181104,0.07071031661890177,-1.5538739865073674,0.12021447789608905,0.3570700995582612,TP4M
STAT5A,Pooled_CD4,49.66256695781223,-0.04427116933188219,0.0989531255999507,-0.44739536081823617,0.6545896248258809,0.8556482538676297,TP4M
STAT3,Pooled_CD4,293.3212132529099,-0.07569775956824681,0.08643844638856012,-0.8757417877221958,0.38117042258431266,0.6661646613161329,TP4M
COASY,Pooled_CD4,22.949079139560837,-0.051608659541302,0.13506754085105713,-0.38209520374856276,0.7023907492677763,0.8800975557117179,TP4M
MLX,Pooled_CD4,40.270495156085474,-0.10318513054775741,0.10264605006009554,-1.005251838598234,0.3147755994411471,0.5998020972992721,TP4M
RETREG3,Pooled_CD4,50.56503582760566,-0.16337184593273757,0.09224533485978081,-1.7710580831114535,0.07655104348124199,0.27741122096751203,TP4M
CCR10,Pooled_CD4,14.619813252356598,-0.18082026789010888,0.45437552103166046,-0.3979533657085138,0.6906645615211161,0.8742902204569574,TP4M
EZH1,Pooled_CD4,57.21022727927084,-0.18524476452191743,0.09472255371510312,-1.95565635908717,0.0505056489205389,0.21561619373894284,TP4M
VPS25,Pooled_CD4,23.396931699265025,0.06020055502284097,0.12862515409659228,0.46803096521565907,0.6397624459875977,0.8468873795618493,TP4M
COA3,Pooled_CD4,29.850584778093275,0.1300875489119122,0.13906127938951884,0.9354692368932498,0.34954652999865654,0.6370123436952,TP4M
BECN1,Pooled_CD4,74.91606321380495,0.028653147224028525,0.08773632570807458,0.3265824844245958,0.7439836931500056,0.9013989444850499,TP4M
PSME3,Pooled_CD4,35.947347281758454,0.1880702897417646,0.10893985491139119,1.7263680945301059,0.08428121192623354,0.2938674231933792,TP4M
AARSD1,Pooled_CD4,18.780597253420492,-0.15972657636036425,0.15293696268421716,-1.0443948510352348,0.2963027448682767,0.5809675746971488,TP4M
RUNDC1,Pooled_CD4,14.801394265725978,0.35732636709345894,0.17359019722379374,2.058447843300686,0.03954716309887821,0.1864398992674229,TP4M
RPL27,Pooled_CD4,5384.838286043791,-0.014740856689889677,0.041772296338148635,-0.35288595509717186,0.7241739405483867,0.8903903527111245,TP4M
IFI35,Pooled_CD4,37.757491349394435,0.11105362395399056,0.14365855045828907,0.7730387338568805,0.4394994575832246,0.7109755638876141,TP4M
VAT1,Pooled_CD4,12.185345800941015,0.10918272670172582,0.2459423155206621,0.44393632088315105,0.6570886239519516,0.8568477777399086,TP4M
AC060780.1,Pooled_CD4,20.86245202549011,0.3101173735250258,0.1532266978224085,2.0239121375862017,0.04297919285430121,0.19439782782404055,TP4M
NBR1,Pooled_CD4,52.68340990016548,0.0017283292393907015,0.09070224478063395,0.01905497756500643,0.984797247600063,0.9955640705331982,TP4M
DHX8,Pooled_CD4,54.656363184616396,0.09264449434182563,0.10909609681444254,0.8492008151254135,0.3957695597807297,0.6768372161759982,TP4M
TMEM101,Pooled_CD4,30.64594382462313,-0.46058833557850165,0.12021511563955169,-3.831367903513163,0.00012743278680026835,0.0037982439054717347,TP4M
LSM12,Pooled_CD4,69.97345383222445,-0.039347158036468696,0.09382504452090158,-0.419367326041644,0.6749476994394759,0.8642091943885154,TP4M
HDAC5,Pooled_CD4,19.078208594866766,-0.15788344370711294,0.1714766539769932,-0.9207285076153628,0.35719218869048386,0.6438665072247716,TP4M
ASB16-AS1,Pooled_CD4,14.55181279261343,-0.06755114017033996,0.18347933479785522,-0.3681675663625177,0.712748292733582,0.8858458619173906,TP4M
TMUB2,Pooled_CD4,30.649891559806928,-0.03259615747015786,0.11547605997675432,-0.2822763218343227,0.777731640079291,0.9183576194057742,TP4M
