gene,cluster,timepoint,log2FoldChange,padj,sig
STAT3,11,TP2M,0.1133807432577639,0.734274977760547,False
JAK1,0,TP3M,0.0101524088073313,0.9305147058866068,False
ODC1,0,TP3M,0.0348663719712277,0.8879179610732425,False
IL6ST,0,TP3M,-0.0492344430609145,0.8563643196428689,False
HINT1,0,TP3M,0.1807132187390945,0.0249199362181518,False
CD74,0,TP3M,-0.3093295465237065,0.0113862724306835,False
PIM1,0,TP3M,0.0401722983296526,0.870352647871824,False
EIF3E,0,TP3M,0.2455582980569144,0.0068012129539143,False
UBC,0,TP3M,-0.109412816429764,0.4216284701987785,False
HMGB1,0,TP3M,0.1538738108362716,0.0662115079196478,False
PSME2,0,TP3M,-0.094254402704989,0.6746436307809303,False
STAT3,0,TP3M,0.0208420639401622,0.9265715661594124,False
SOCS3,0,TP3M,-0.4195287214769288,0.0218210124293441,False
JAK1,2,TP3M,0.042659409471441,0.7665047682203369,False
ODC1,2,TP3M,0.1516745387894426,0.4344086203834587,False
IL6ST,2,TP3M,0.0263018223716589,0.9123746391537412,False
HINT1,2,TP3M,0.1767139319276204,0.0311786619377821,False
CD74,2,TP3M,-0.2599190095088446,0.1576571608329141,False
PIM1,2,TP3M,0.0205940745633245,0.9576764430699392,False
EIF3E,2,TP3M,0.0849326395864535,0.4806248872147927,False
UBC,2,TP3M,-0.0564889456414493,0.6704119562127306,False
HMGB1,2,TP3M,0.1292681365307823,0.0727308569032738,False
PSME2,2,TP3M,-0.3521611077482008,0.0531136655027291,False
STAT3,2,TP3M,0.0293347978669043,0.8846322671015358,False
SOCS3,2,TP3M,-0.3163015258902191,0.1163082797102562,False
JAK1,5,TP3M,0.101010524220081,0.4561311084474806,False
ODC1,5,TP3M,0.1101315067554837,0.608250053200326,False
IL6ST,5,TP3M,0.0076192807278139,0.97278683983416,False
HINT1,5,TP3M,0.1375008032271971,0.104658817188657,False
CD74,5,TP3M,-0.0811954580355706,0.7563230990941012,False
PIM1,5,TP3M,0.1271092323187839,0.7270302353648093,False
EIF3E,5,TP3M,0.1048765290318871,0.3219583962360743,False
UBC,5,TP3M,-0.1205638285133536,0.3216702763545271,False
HMGB1,5,TP3M,0.1174795757038564,0.2287053634739703,False
PSME2,5,TP3M,-0.1582961590098287,0.4218304795077129,False
STAT3,5,TP3M,0.1976333971351775,0.2479638415951966,False
SOCS3,5,TP3M,-0.2230228055618608,0.4552660170453623,False
JAK1,6,TP3M,-0.1496687110741243,0.4317735333484442,False
ODC1,6,TP3M,-0.1682603448156473,0.6059039997891053,False
IL6ST,6,TP3M,0.2253869459840327,,False
VCAN,6,TP3M,0.1516170912155382,0.5886514912550724,False
HINT1,6,TP3M,0.0088186190170989,0.9829165447512944,False
