gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GTF3C1,3,TP3M,18.58756798702065,0.27409796701919187,0.14634591233973934,1.8729458352268733,0.061075864938837286,0.24853691202696993
XPO6,3,TP3M,9.003140677978664,-0.10563652696441382,0.17756247492624602,-0.5949259662453567,0.5518929594344264,0.7946518824124826
ATXN2L,3,TP3M,13.796015355139442,0.04924423000676844,0.1498799537008484,0.3285578143762777,0.7424899385004393,0.9029672159236698
TUFM,3,TP3M,18.69504650915917,-0.3430707003897107,0.14801216629960462,-2.3178547342876583,0.02045721724205651,0.14182487268028765
NFATC2IP,3,TP3M,17.042146213340047,-0.009533500003133246,0.14556153520227805,-0.06549463764506962,0.9477801757103139,0.9830193811603584
LAT,3,TP3M,19.448926703499364,-0.2007106784700557,0.1354698342615726,-1.481589459115396,0.1384495654539184,0.3954287856932289
SPN,3,TP3M,34.80086326410146,-0.3026332751923438,0.11837408408156014,-2.556583880166105,0.010570558252330702,0.09735880165547241
C16orf54,3,TP3M,17.006160511901815,0.2900015087674854,0.15445791530907096,1.877543848673544,0.060443593442106563,0.24761337077671072
MAZ,3,TP3M,20.41980342336133,-0.21422269464495233,0.1234037487565344,-1.7359496514777388,0.08257273743215879,0.2947572919580276
TMEM219,3,TP3M,15.701582617773669,-0.2694471716199582,0.14212350177117938,-1.8958663997300849,0.057977712958730505,0.2418842614030957
PPP4C,3,TP3M,16.79864742383465,-0.27739821026843037,0.15743975761584963,-1.7619324017588833,0.07808071933087282,0.28815319692570274
YPEL3,3,TP3M,39.213004105377266,-0.09921033345436157,0.12185181287137166,-0.8141884073492552,0.41553702555584404,0.7058106455229126
CORO1A,3,TP3M,86.36740233637346,-0.3698457298622092,0.08985444113509214,-4.11605397785695,3.854140805679227e-05,0.002879472539341543
CD2BP2,3,TP3M,12.111602223876027,-0.3279582165930723,0.14682920071414748,-2.233603499834842,0.025509173444319373,0.15954465426231842
SEPT1,3,TP3M,17.512254870197708,-0.13027648400680863,0.1312521113695053,-0.9925667682407786,0.32092112628077385,0.6241531352838111
SEPHS2,3,TP3M,11.720122102694841,-0.25785450065638643,0.18839916480856816,-1.368660529458247,0.1711054137105772,0.4484103695435302
ITGAL,3,TP3M,57.574910026539946,-0.07163569603522925,0.086598044589612,-0.8272207112147937,0.4081119746677033,0.7004972454554135
BCL7C,3,TP3M,18.84576703764874,-0.3821129244177953,0.13852265358690188,-2.758486893828363,0.005806963370282384,0.06899276926179368
STX4,3,TP3M,11.188438635642962,-0.14227572207333394,0.17255223341656492,-0.8245371227960909,0.409634431581094,0.7016500935741774
FUS,3,TP3M,174.38051398143128,0.17998637575361334,0.09082073543786824,1.9817762418004707,0.04750428966069244,0.21728798134273666
PYCARD,3,TP3M,17.701434396967827,-0.5115907691737684,0.17097634081345908,-2.9921728745612297,0.002769993559118969,0.04136868885487956
ITGAM,3,TP3M,21.59408765832518,-0.21038877309320436,0.13461865467477546,-1.5628500641421619,0.11808786539257195,0.36324236553865247
ITGAX,3,TP3M,15.493171354841632,-0.1419261439106122,0.20945548563309443,-0.6775957358272575,0.4980280505292942,0.7559975029389686
ZNF267,3,TP3M,9.83096789068691,0.13871813870469035,0.1839561859082528,0.7540824899135238,0.4507996909012195,0.7299134147258474
VPS35,3,TP3M,10.332877750102988,-0.13025326422156738,0.18846663174249467,-0.691121091395822,0.4894894468579618,0.7515882426332459
DNAJA2,3,TP3M,17.355918830235478,-0.07502287545788394,0.13321774837538697,-0.5631597619146144,0.5733260999862213,0.8068815412020668
LONP2,3,TP3M,12.482509600107623,0.022355364040147027,0.17259511201472008,0.12952489661607805,0.8969423262291815,0.970079511321797
N4BP1,3,TP3M,14.247320001291962,-0.15907896473122723,0.15623158228663514,-1.0182253959341463,0.3085708531315199,0.6108997390663541
TENT4B,3,TP3M,16.33083297846581,0.7782816934314235,0.1861279490662773,4.181433778944663,2.896766214751095e-05,0.0025021796817147296
ADCY7,3,TP3M,14.11236261414981,0.08515222243725329,0.1760779440984811,0.4836052742053105,0.6286660309735008,0.8445635287899573
BRD7,3,TP3M,29.977863765286266,0.04274158841929996,0.1385507161779281,0.3084905628666027,0.7577090800751878,0.9100481848629464
CYLD,3,TP3M,25.540990174305087,0.15868519516754634,0.11209930144389404,1.4155770207628693,0.15689938320372304,0.4296918840780624
CHD9,3,TP3M,26.68118786610672,-0.12991045166673143,0.10817130199048983,-1.2009696590150396,0.2297629709972755,0.5264755095447393
RBL2,3,TP3M,21.50636093801659,0.08570296012796234,0.1296818825122787,0.6608707281824637,0.5086952196263743,0.76292347345185
NUDT21,3,TP3M,11.176624276059348,0.2513819695488374,0.16144966627419113,1.5570299731800843,0.11946336928388308,0.364860868340186
MT2A,3,TP3M,42.798007430111475,0.2077614253146589,0.18669363768804606,1.112846843028555,0.2657742132312103,0.5670784375301999
MT1X,3,TP3M,10.488089777030213,0.5813439257642116,0.1719586723699575,3.380718853850472,0.0007229647506424351,0.01794679038703901
HERPUD1,3,TP3M,40.537584900622434,0.27441670289871534,0.11875468917454579,2.3107862502623147,0.020844664355364168,0.14362796673088174
NLRC5,3,TP3M,11.11831026833827,-0.4146108138653592,0.1703717003100885,-2.4335662149919166,0.01495090058287661,0.11856843241407852
ARL2BP,3,TP3M,11.943205227683457,-0.0775111179100664,0.1593497746412592,-0.4864212584207637,0.6266685211962402,0.8436531565893781
POLR2C,3,TP3M,11.757960862020688,-0.05352934974792233,0.15414785014757248,-0.3472597879028241,0.7283961578213007,0.8989632630058253
ADGRG1,3,TP3M,46.16506972163515,-0.16518911274170414,0.11074647346770788,-1.4915970465630308,0.13580481293097474,0.3910199838985543
CFAP20,3,TP3M,9.770089400097717,0.2916435223682261,0.20558421749916447,1.4186085192527553,0.15601318077323315,0.4283660874151659
