grouping,comparison,res1_cluster,res2_cluster,cluster_overlap_pct,sig_genes_res1,sig_genes_res2,conserved,lost,gained,conserved_pct_of_res1,direction_agreement_pct,conserved_genes,lost_genes,gained_genes
DRVI,ACS_vs_CCS,15,28,98.1,0,0,0,0,0,,,,,
DRVI,ACS_vs_CCS,16,26,98.4,0,2,0,0,2,,,,,LTB;MTRNR2L8
DRVI,ACS_vs_CCS,17,31,100.0,0,0,0,0,0,,,,,
DRVI,ACS_vs_CCS,18,32,61.8,0,0,0,0,0,,,,,
DRVI,ACS_vs_nonCCS,0,0,38.9,5,4,2,3,2,40.0,100.0,ISG20;SYTL3,DENND3;FKBP5;SLA2,RNF115;SEC14L1
DRVI,ACS_vs_nonCCS,1,5,40.3,1,0,0,1,0,0.0,,,HIST1H4C,
DRVI,ACS_vs_nonCCS,2,6,52.2,7,5,4,3,1,57.1,100.0,FKBP5;GBP1;PHC2;TEX14,AL355075.4;IL7R;THBS1,MTRNR2L8
DRVI,ACS_vs_nonCCS,3,7,50.6,2,1,1,1,0,50.0,100.0,MTRNR2L8,HIST1H4C,
DRVI,ACS_vs_nonCCS,4,10,43.3,2,0,0,2,0,0.0,,,HLA-DRA;MTRNR2L8,
DRVI,ACS_vs_nonCCS,5,9,50.7,1,1,1,0,0,100.0,100.0,MTRNR2L8,,
DRVI,ACS_vs_nonCCS,6,2,95.8,1,1,1,0,0,100.0,100.0,MTRNR2L8,,
DRVI,ACS_vs_nonCCS,7,3,96.8,9,9,8,1,1,88.9,100.0,ADM;CD69;FKBP5;HLA-DQA1;IL32;IL7R;RGCC;SAP30,THBS1,TRBC2
DRVI,ACS_vs_nonCCS,8,4,96.8,2,2,2,0,0,100.0,100.0,FKBP5;MTRNR2L8,,
DRVI,ACS_vs_nonCCS,9,8,83.6,1,0,0,1,0,0.0,,,HIST2H2AC,
DRVI,ACS_vs_nonCCS,10,15,98.1,9,10,9,0,1,100.0,100.0,CKB;CXCR4;FKBP5;ISG20;KLF9;LITAF;MTRNR2L8;NEU1;PHC2,,RGCC
DRVI,ACS_vs_nonCCS,11,17,94.8,0,0,0,0,0,,,,,
DRVI,ACS_vs_nonCCS,12,23,99.3,6,4,3,3,1,50.0,100.0,AREG;FKBP5;MTRNR2L8,CXCL8;CXCR4;GOLGB1,LTB
DRVI,ACS_vs_nonCCS,13,25,99.6,0,0,0,0,0,,,,,
DRVI,ACS_vs_nonCCS,14,30,73.5,6,3,3,3,0,50.0,100.0,DDX3X;RPS4Y1;XIST,IGKC;KLF3;KLRB1,
DRVI,ACS_vs_nonCCS,15,28,98.1,0,4,0,0,4,,,,,MTRNR2L8;RPS4Y1;TXNIP;XIST
DRVI,ACS_vs_nonCCS,16,26,98.4,0,0,0,0,0,,,,,
DRVI,ACS_vs_nonCCS,17,31,100.0,0,0,0,0,0,,,,,
DRVI,ACS_vs_nonCCS,18,32,61.8,0,0,0,0,0,,,,,
DRVI,ACS_TP1M_vs_TP4M,0,0,38.9,26,6,4,22,2,15.4,100.0,CEMIP2;IGHA1;IGKC;SYTL3,ABHD2;AGPAT4;CD83;CMIP;DENND3;FKBP5;GK5;HAVCR2;IGHM;IGLC2;IGLC3;JCHAIN;OASL;PDE4A;PPBP;RAMP1;RGCC;SEC14L1;SH2D2A;SLA2;SNHG25;THEMIS2,RNF115;SORL1
